S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
2,3,3,100,49,1,100,0,150,99.5,49,87,67.38812737987467,0.8811767891058421
2,3,3,100,49,1,100,0,150,99.5,49,88,67.38812817196154,0.8811768553970483
2,3,3,100,49,1,100,0,150,99.5,49,89,67.38812873574133,0.8811769025808147
2,3,3,100,49,1,100,0,150,99.5,49,90,67.38812913702012,0.8811769361645716
2,3,3,100,49,1,100,0,150,99.5,49,91,67.38812942263635,0.8811769600683161
2,3,3,100,49,1,100,0,150,99.5,49,92,67.388129625928,0.8811769770821656
2,3,3,100,49,1,100,0,150,99.5,49,93,67.38812977062389,0.8811769891920288
2,3,3,100,49,1,100,0,150,99.5,49,94,67.38812987361338,0.881176997811406
2,3,3,100,49,1,100,0,150,99.5,49,95,67.38812994691769,0.8811770039463773
2,3,3,100,49,1,100,0,150,99.5,49,96,67.38812999909312,0.8811770083130351
2,3,3,100,49,1,100,0,150,99.5,49,97,67.38813003622978,0.8811770114210694
2,3,3,100,49,1,100,0,150,99.5,49,98,67.38813006266234,0.8811770136332593
2,3,3,100,49,1,100,0,150,99.5,49,99,67.38813008147613,0.8811770152078189
2,3,3,100,49,1,100,0,150,99.5,49,100,67.38813009486714,0.8811770163285354
2,3,3,100,49,1,100,0,150,99.5,49,101,67.38813010439836,0.881177017126222
3,3,3,100,49,1,100,0,150,99.5,49,1,4.9e-5,1.0e-6
3,3,3,100,49,1,100,0,150,99.5,49,2,70.23320853771148,1.3168719341564668e-6
3,3,3,100,49,1,100,0,150,99.5,49,3,70.2332124601343,1.7341514849050035e-6
3,3,3,100,49,1,100,0,150,99.5,49,4,70.23321762545675,2.283654791341355e-6
3,3,3,100,49,1,100,0,150,99.5,49,5,70.2332244275136,3.0072794544032324e-6
3,3,3,100,49,1,100,0,150,99.5,49,6,70.23323338493071,3.960198930708053e-6
3,3,3,100,49,1,100,0,150,99.5,49,7,70.2332451806647,5.215069036406806e-6
3,3,3,100,49,1,100,0,150,99.5,49,8,70.23326071406925,6.867567193497298e-6
